min_row,min_col,max_row,max_col
245,163,255,172
232,149,242,159
231,17,254,32
228,233,242,253
220,180,242,193
213,122,234,140
212,86,222,97
206,174,221,187
205,10,216,18
201,109,215,128
200,135,210,143
196,188,201,196
193,8,202,18
192,117,198,125
188,221,208,234
185,127,193,136
163,109,181,129
159,204,182,221
153,222,163,234
153,111,163,116
149,130,159,139
129,95,147,111
120,33,128,52
119,230,138,244
117,1,133,14
113,61,131,80
112,148,128,162
109,178,123,199
99,36,119,49
98,246,110,255
94,15,103,23
88,175,100,187
88,1,98,9
83,31,98,42
82,48,93,55
76,214,87,222
74,226,87,239
53,136,65,148
53,34,78,45
49,210,61,219
49,200,63,209
49,60,62,78
47,116,65,130
45,232,58,248
42,88,55,104
38,42,52,61
24,194,48,215
23,125,29,132
8,106,17,120
2,226,13,234
