min_row,min_col,max_row,max_col
239,223,255,242
236,242,248,252
229,207,243,217
224,91,242,103
202,107,214,119
192,185,201,197
191,229,203,254
183,166,199,182
181,102,190,112
178,133,187,140
178,114,202,132
170,212,182,221
170,11,181,25
167,230,181,246
163,1,173,7
145,174,162,191
144,231,161,250
135,14,151,27
126,147,141,166
125,195,138,214
122,55,138,71
120,31,133,49
115,147,126,156
114,161,126,173
104,83,119,101
103,48,114,58
81,102,98,121
70,235,85,252
64,74,86,92
45,154,64,174
22,197,33,206
9,117,18,129
6,172,22,187
1,134,18,155
