min_row,min_col,max_row,max_col
234,16,253,39
228,160,247,176
226,173,237,186
213,201,236,221
188,47,194,52
185,119,206,132
175,49,197,76
174,198,191,216
169,40,179,48
153,44,176,66
146,18,157,32
142,209,160,234
138,246,151,254
135,37,152,50
133,46,137,51
131,164,150,179
120,221,138,237
120,15,142,31
115,160,121,167
112,46,127,65
110,166,126,189
108,248,116,254
104,19,111,25
97,218,118,234
96,118,112,137
96,28,113,46
94,167,110,180
92,200,115,213
84,3,101,25
76,180,83,186
74,35,79,41
72,185,93,204
61,17,70,25
54,168,62,177
52,123,88,144
52,33,74,46
43,145,58,159
41,104,54,116
37,15,56,33
35,115,44,124
28,133,35,142
26,94,45,112
21,180,39,199
21,148,37,166
21,31,36,42
20,44,24,49
17,67,36,83
14,93,23,103
11,159,18,170
7,1,19,12
4,151,12,159
2,133,17,149
1,192,8,199
1,52,17,64
