min_row,min_col,max_row,max_col
249,104,256,110
227,60,251,81
226,164,235,174
224,41,240,58
212,158,220,167
211,92,224,102
198,73,215,90
196,214,204,224
196,181,211,198
194,101,204,121
190,19,200,29
182,66,187,73
179,232,187,246
179,9,189,20
167,49,182,72
166,3,179,14
165,195,180,210
158,120,172,145
153,156,173,170
148,103,161,117
144,224,165,238
142,193,161,204
133,38,156,56
129,121,141,133
117,216,133,236
110,130,123,149
98,108,115,124
73,98,99,114
62,66,74,81
48,217,65,229
45,65,61,82
44,135,57,146
31,246,38,255
12,183,31,199
