min_row,min_col,max_row,max_col
236,138,248,159
232,229,242,240
232,107,254,124
231,195,247,214
226,122,231,127
225,128,239,142
220,166,239,197
216,110,226,119
215,127,220,132
213,200,221,208
212,222,231,237
212,164,217,171
212,135,232,152
202,113,219,123
201,141,207,150
200,183,209,193
199,226,210,238
199,124,209,132
196,203,210,223
192,133,201,143
180,241,195,254
175,226,187,237
170,143,191,165
163,187,176,209
162,211,168,218
159,229,171,241
152,133,163,145
145,156,158,171
141,241,147,247
139,217,158,237
135,199,144,209
130,223,137,235
129,240,140,255
126,140,135,152
122,222,130,230
120,205,137,220
117,189,131,197
110,218,119,231
91,229,110,252
88,204,100,216
83,234,93,248
77,2,84,17
58,130,69,138
52,42,65,50
