min_row,min_col,max_row,max_col
230,165,250,181
229,5,250,18
199,221,217,240
193,24,212,39
184,165,210,194
168,237,182,255
161,168,185,184
160,219,180,237
155,130,171,149
145,28,166,45
126,186,139,198
125,11,131,21
119,61,129,72
116,144,144,157
106,127,117,139
105,221,118,230
105,63,117,76
98,6,105,16
94,169,109,186
92,86,108,97
89,73,102,86
89,51,107,64
84,143,105,160
80,165,88,174
77,58,93,75
75,150,85,162
71,232,94,250
64,8,75,33
59,157,72,164
58,166,78,182
51,16,60,25
45,82,71,94
41,70,57,79
29,147,52,174
29,80,40,91
26,184,35,194
26,110,39,134
24,23,44,45
18,64,27,78
13,118,22,125
7,211,19,228
3,10,21,24
2,90,18,114
1,75,6,79
