min_row,min_col,max_row,max_col
247,159,255,170
241,177,255,196
240,166,246,173
238,106,247,117
236,175,243,181
232,91,250,103
231,139,243,160
225,204,231,211
210,78,228,97
208,99,239,128
208,58,224,75
207,209,227,226
199,186,219,204
187,52,202,73
181,203,201,221
176,3,193,21
174,48,186,59
172,94,192,111
148,233,165,253
141,153,149,163
124,244,137,255
116,213,127,228
116,196,124,207
116,149,140,167
105,85,125,105
102,240,117,252
101,201,118,217
87,159,106,173
86,201,101,220
86,27,97,48
84,129,101,154
75,50,101,67
73,195,81,206
66,123,77,140
60,73,77,87
58,225,70,233
58,155,71,173
53,239,64,255
50,74,57,79
50,18,57,27
47,240,52,245
45,234,54,239
42,13,49,19
37,47,53,77
36,228,45,236
35,21,45,38
31,216,44,228
25,90,41,102
23,235,33,245
23,61,32,69
20,13,26,20
16,212,22,222
13,49,29,67
9,1,14,6
