min_row,min_col,max_row,max_col
248,70,255,77
241,136,251,146
234,189,242,198
228,222,243,242
224,48,236,69
220,5,238,17
210,80,227,92
209,95,232,111
207,114,220,130
202,241,223,255
200,73,206,86
194,204,217,224
187,215,198,225
177,60,200,77
174,151,189,161
168,168,182,187
167,161,175,167
164,212,179,231
160,103,180,118
158,165,165,179
155,244,163,252
146,204,156,213
142,111,154,140
119,2,133,16
117,181,134,205
109,211,128,226
106,168,114,178
105,247,110,254
103,233,109,240
101,46,121,63
92,2,99,9
90,206,106,222
87,23,110,46
83,220,88,230
78,22,87,32
76,63,93,88
73,47,76,51
72,3,85,14
70,90,84,111
70,41,75,45
55,31,60,36
54,22,77,42
52,42,62,52
52,8,58,14
48,246,58,255
35,10,47,21
33,220,40,228
32,5,36,10
25,21,40,29
25,4,32,11
19,30,40,50
18,236,35,251
11,146,20,160
10,221,27,235
4,211,13,220
1,170,9,179
1,2,4,5
