min_row,min_col,max_row,max_col
252,227,255,231
246,14,255,29
231,194,245,205
224,45,239,65
223,92,247,110
223,11,237,27
213,163,231,183
213,57,225,72
201,64,207,70
200,231,214,245
200,120,207,127
199,201,226,215
199,43,212,62
196,245,206,255
194,8,206,25
182,141,204,158
177,212,184,221
177,16,192,35
175,87,197,106
164,179,172,189
160,84,175,99
156,165,166,174
156,95,168,108
156,4,162,10
153,70,166,84
153,33,158,38
152,46,168,67
149,100,152,104
143,113,154,129
140,90,148,100
132,5,153,24
131,99,148,119
127,152,147,171
119,40,136,74
116,164,123,173
116,20,127,37
112,67,125,95
111,212,124,227
111,193,129,209
111,143,127,157
110,63,119,71
108,106,121,115
108,3,124,13
103,63,109,74
100,203,108,213
99,13,111,22
96,101,108,109
95,135,112,143
93,188,106,196
90,112,110,134
90,10,98,19
89,147,115,172
82,72,98,87
81,27,112,53
79,8,87,18
78,104,92,116
74,128,82,142
74,91,87,101
73,53,87,68
72,174,85,188
68,23,85,33
67,211,77,228
66,32,75,42
63,142,74,153
57,84,72,106
53,178,65,192
53,43,64,52
49,167,61,178
47,197,61,217
43,152,64,167
41,26,57,36
41,7,61,24
40,101,55,119
31,173,37,178
30,53,45,71
25,183,38,192
25,152,34,161
25,107,38,115
19,94,23,100
16,58,22,66
13,84,19,91
12,128,37,140
7,102,21,121
7,12,29,25
5,175,21,196
3,59,13,72
2,161,9,168
2,92,17,103
