min_row,min_col,max_row,max_col
239,119,251,133
237,112,242,118
236,89,253,111
233,159,249,178
229,1,241,15
224,15,229,21
221,28,225,33
220,165,234,176
205,107,223,128
198,12,221,28
196,99,205,108
196,67,212,88
191,128,199,137
184,190,189,197
181,84,200,97
180,19,185,22
179,207,193,225
179,161,185,168
175,226,182,234
175,103,183,111
173,65,195,84
170,162,176,170
168,5,179,12
160,168,186,190
160,98,175,126
158,13,172,31
150,75,159,85
144,24,150,30
138,83,146,91
137,39,156,57
136,123,147,135
132,38,138,45
129,65,158,80
122,17,151,32
115,53,137,72
85,54,94,60
66,213,82,234
49,38,62,49
34,26,53,38
17,12,33,24
