min_row,min_col,max_row,max_col
246,205,255,215
244,225,255,234
244,48,249,54
243,217,247,221
240,153,247,162
239,1,255,27
237,33,250,45
234,134,252,152
233,245,244,254
233,220,238,229
233,79,242,88
231,208,239,216
226,252,230,256
225,140,232,146
222,104,235,118
220,185,230,205
216,244,226,254
213,210,229,233
210,76,223,98
210,32,228,48
203,136,211,143
198,97,211,131
191,44,199,53
169,167,178,178
168,182,191,199
168,49,188,64
159,53,167,59
158,194,167,201
157,162,167,178
151,228,164,241
144,235,163,255
142,5,151,11
137,223,144,233
133,160,148,170
124,172,143,188
120,49,135,59
117,211,125,220
110,231,127,251
108,61,123,79
108,27,132,48
107,10,116,25
106,89,122,101
98,67,106,74
90,172,102,189
90,150,106,171
83,113,94,126
71,70,83,80
66,196,82,214
63,236,80,255
61,188,73,198
61,57,70,65
53,65,68,78
37,99,61,112
34,141,40,146
27,151,45,167
15,249,23,255
11,88,28,104
5,167,18,178
2,206,9,214
