min_row,min_col,max_row,max_col
251,227,255,231
234,220,248,240
234,55,245,67
232,91,250,108
225,71,240,89
221,35,234,46
219,2,234,17
217,87,230,110
203,105,212,113
201,25,218,41
192,145,207,163
180,16,188,25
167,0,172,5
165,173,185,189
165,139,184,155
156,161,174,182
153,32,163,49
152,65,166,86
150,205,170,221
139,7,153,25
138,216,153,236
127,198,139,211
113,23,129,44
106,147,123,167
95,3,110,24
90,172,101,179
82,56,101,70
78,232,93,245
69,171,80,178
67,243,73,252
66,41,85,56
64,179,70,187
55,187,71,204
51,60,69,78
50,114,71,134
45,167,60,180
45,141,54,150
38,203,55,221
38,101,49,113
31,150,43,162
20,127,43,139
16,145,32,159
7,176,18,200
7,161,17,171
7,10,31,32
2,218,11,223
1,231,16,245
1,139,16,149
