min_row,min_col,max_row,max_col
247,94,255,106
240,154,246,160
234,109,250,130
226,145,239,168
219,172,234,187
211,211,227,222
196,154,215,169
189,241,206,255
181,193,196,205
177,59,186,67
168,142,186,158
164,12,172,24
158,43,171,56
157,2,167,12
144,10,152,19
139,166,154,187
131,124,149,141
125,173,135,184
112,5,126,20
106,56,131,73
105,67,116,80
101,215,114,225
96,104,112,123
91,124,104,145
87,29,101,54
84,55,95,65
76,213,88,225
75,196,90,206
72,87,90,104
66,152,79,164
65,46,84,62
61,16,76,38
57,77,71,87
49,6,62,24
43,170,61,187
41,69,56,84
21,165,40,181
14,201,24,214
6,224,20,242
5,55,19,69
4,45,12,52
