min_row,min_col,max_row,max_col
245,11,250,21
243,182,255,196
239,70,253,94
231,92,249,109
228,36,238,48
227,150,249,168
222,228,244,248
222,155,228,160
209,215,225,236
209,190,221,211
200,46,216,67
180,2,203,16
174,101,185,120
170,235,195,250
168,48,173,55
166,152,180,168
166,30,184,44
164,13,177,26
154,148,164,158
149,202,173,214
148,218,162,245
145,166,159,177
141,26,160,47
134,163,155,199
132,154,135,158
127,109,146,130
118,198,143,222
115,179,133,199
113,71,126,79
111,143,133,161
110,131,124,142
107,42,115,51
99,155,110,164
97,54,115,78
96,108,106,119
95,147,101,154
89,200,98,210
88,185,108,205
82,147,90,154
78,53,93,70
77,109,93,124
73,93,83,105
72,155,88,175
69,208,86,225
65,102,76,118
63,89,72,100
60,180,75,194
44,141,66,156
42,192,54,205
41,83,62,95
37,231,57,242
36,225,42,231
32,162,36,168
30,76,42,94
29,61,43,74
28,181,40,192
24,7,42,27
18,165,30,172
17,100,36,123
15,46,28,66
11,35,19,44
10,241,38,252
4,183,20,205
2,164,13,174
1,173,7,179
1,56,15,76
