min_row,min_col,max_row,max_col
220,7,236,19
217,145,232,168
215,26,232,41
212,110,227,122
205,219,232,235
191,209,211,224
191,1,195,9
184,208,192,218
177,218,184,226
174,119,186,138
173,11,187,25
172,227,185,243
159,70,176,84
155,18,168,38
154,3,167,17
143,83,156,106
141,189,156,201
138,228,151,252
137,22,144,29
127,98,138,111
121,231,136,254
115,149,128,161
114,112,133,132
107,76,121,91
98,21,108,29
95,102,109,116
89,200,103,216
84,127,100,146
81,83,85,90
73,213,94,234
73,90,89,112
71,52,89,75
62,72,77,85
59,141,68,151
57,112,68,136
55,233,72,246
54,150,69,167
51,215,62,228
51,32,59,39
50,185,68,211
35,213,50,230
33,138,45,157
30,185,42,195
23,159,48,177
22,10,39,27
20,197,40,209
18,104,37,124
17,153,22,161
8,71,17,81
5,214,27,233
4,242,10,253
3,183,11,190
3,96,11,106
1,81,7,86
1,41,32,68
