min_row,min_col,max_row,max_col
244,167,255,177
239,32,252,43
232,29,239,35
226,167,241,190
224,235,247,249
211,25,218,32
201,38,217,57
200,8,224,26
197,182,218,203
191,1,212,14
189,59,197,66
187,225,206,243
181,35,193,46
177,130,188,147
170,76,187,88
165,41,172,57
152,154,180,169
150,129,167,147
119,63,132,78
110,89,118,99
93,185,99,193
86,15,103,41
84,231,90,239
73,113,101,128
66,44,92,58
64,216,88,238
59,18,70,37
58,1,75,9
47,132,53,142
42,58,57,79
36,106,53,134
33,236,45,250
33,3,38,8
32,35,65,52
32,11,48,31
31,91,52,105
27,157,36,167
26,171,34,189
21,57,31,66
18,75,28,87
17,108,31,131
13,166,22,176
13,11,30,19
10,86,16,94
8,78,13,83
7,244,11,249
5,52,16,63
3,143,8,149
1,132,13,142
