min_row,min_col,max_row,max_col
245,97,255,109
240,190,253,206
229,9,246,26
226,63,245,80
220,80,234,104
201,244,211,255
199,212,212,233
195,40,210,61
187,26,198,36
154,19,171,35
142,102,160,120
137,123,149,144
127,3,138,16
124,42,136,59
106,192,116,201
99,232,116,248
99,121,110,132
99,63,109,74
81,119,98,134
65,60,87,73
42,192,59,210
42,132,69,148
41,238,48,245
35,93,55,109
34,82,47,92
32,159,42,166
28,223,48,238
20,140,37,160
12,172,23,180
11,53,36,70
10,202,30,217
1,210,6,216
