min_row,min_col,max_row,max_col
247,191,255,198
243,180,251,190
230,101,240,112
213,201,235,219
213,181,232,196
213,129,241,153
206,146,211,152
206,124,214,128
198,199,210,212
193,3,199,10
191,182,198,188
178,124,205,137
171,137,179,146
164,158,183,174
160,246,169,255
158,127,166,133
139,114,155,137
138,222,151,232
123,61,130,69
107,175,128,191
102,201,123,216
96,96,112,112
93,228,114,252
89,81,105,94
86,148,101,168
78,64,102,83
78,13,109,38
63,119,86,137
62,235,73,244
49,142,61,154
39,208,59,227
39,169,53,189
25,154,41,172
17,233,31,248
14,1,21,12
12,13,21,37
10,79,15,84
6,89,22,105
1,201,10,221
