min_row,min_col,max_row,max_col
247,143,255,159
244,95,252,100
244,13,254,25
237,109,247,122
227,94,245,111
223,117,235,138
221,35,239,61
219,16,235,33
216,74,234,91
204,104,212,110
200,21,212,37
198,86,217,99
189,56,200,65
183,10,206,24
114,1,118,8
89,121,99,130
79,133,90,154
73,15,79,21
67,103,89,120
66,85,78,93
66,31,84,51
64,71,75,81
47,87,69,104
46,29,69,43
45,173,67,186
45,46,67,66
41,69,61,84
36,158,49,170
22,74,41,86
19,173,35,188
19,133,31,149
14,198,40,216
11,53,28,65
7,94,22,114
6,190,15,198
6,2,24,20
4,153,18,169
2,86,12,99
1,54,10,67
