min_row,min_col,max_row,max_col
243,138,252,146
239,114,247,124
225,219,231,224
222,128,236,140
221,223,249,248
215,109,236,132
198,190,212,214
193,5,214,22
186,158,196,164
180,164,190,178
170,173,190,187
159,117,169,129
155,202,172,210
151,156,172,174
132,206,142,223
126,182,135,193
119,218,127,228
115,26,131,45
114,55,130,75
95,12,117,27
73,93,87,106
60,42,73,56
56,21,76,37
52,86,70,116
45,56,65,78
28,50,42,86
26,108,41,123
16,110,25,121
2,121,10,133
1,212,10,224
