min_row,min_col,max_row,max_col
232,21,242,35
230,56,243,69
213,52,221,63
210,85,220,93
203,91,226,110
202,127,222,142
195,57,220,79
185,147,205,166
183,126,198,140
167,42,174,52
151,102,164,133
143,68,162,87
143,46,154,56
124,57,136,82
123,168,141,184
117,86,124,97
115,30,131,46
108,52,120,67
98,167,111,175
88,25,103,38
81,145,90,159
81,55,95,67
81,1,87,7
77,10,89,26
75,158,82,169
75,89,86,104
70,133,81,148
63,22,71,34
56,61,62,71
55,21,65,29
44,89,61,99
40,2,53,18
28,26,50,38
27,186,46,201
23,145,36,164
18,62,29,72
6,194,21,207
3,106,21,123
