min_row,min_col,max_row,max_col
232,183,251,201
229,77,242,85
223,239,238,255
220,39,236,58
212,65,232,79
199,19,218,38
197,224,213,242
186,178,208,192
184,194,202,213
159,187,178,206
156,105,175,121
156,26,171,45
152,217,166,232
152,46,163,58
150,86,167,99
139,63,153,83
127,128,134,135
122,146,129,155
121,179,130,189
117,228,127,239
109,238,121,253
105,168,120,187
100,74,121,90
95,56,111,69
95,18,112,33
92,138,99,146
92,110,104,120
91,40,106,56
87,186,103,214
87,83,95,90
83,151,98,168
78,91,92,112
71,219,88,238
69,85,77,93
65,104,79,121
64,165,80,188
50,125,71,141
36,23,55,39
20,169,29,179
20,152,39,167
5,243,12,249
2,148,14,157
