min_row,min_col,max_row,max_col
252,149,255,153
243,27,255,44
239,144,249,151
232,40,241,49
228,31,238,39
226,174,248,186
221,1,230,7
215,156,229,172
213,79,224,87
207,126,228,139
204,15,221,32
196,143,215,159
187,157,198,168
181,22,204,44
179,94,198,109
177,219,186,233
172,24,182,31
164,172,181,191
164,109,172,119
139,95,147,103
135,131,151,147
130,172,143,182
130,77,149,94
123,143,129,148
108,124,116,129
105,130,124,155
96,238,104,252
94,184,114,199
89,163,99,173
82,78,95,93
79,113,106,130
65,44,83,56
59,84,79,97
38,234,48,252
38,146,62,160
38,73,52,89
36,1,46,6
35,217,46,229
27,169,45,183
21,202,35,225
15,119,30,128
3,63,20,79
2,175,24,194
2,32,22,46
