min_row,min_col,max_row,max_col
225,114,237,125
173,3,187,12
157,24,170,39
148,32,157,41
145,78,154,94
140,54,160,70
138,137,152,152
131,55,136,67
124,6,138,32
123,103,143,123
119,44,132,56
117,65,142,78
117,32,122,40
114,85,119,92
104,132,123,149
103,47,120,74
100,77,108,102
99,207,106,222
98,4,110,29
98,1,104,6
96,50,103,59
91,82,98,88
91,1,98,11
90,68,96,78
85,84,96,99
83,105,89,120
77,54,90,64
77,13,91,37
66,34,77,55
64,52,69,58
63,71,77,81
62,114,78,129
60,60,76,70
50,73,59,92
37,42,55,53
32,103,49,115
13,102,27,114
11,171,18,184
