min_row,min_col,max_row,max_col
250,79,256,86
244,180,252,187
240,187,255,199
236,145,248,161
231,117,249,130
221,197,236,212
220,181,233,192
218,76,237,93
217,217,228,231
209,117,214,124
208,125,231,138
205,4,218,20
169,77,186,94
167,179,182,196
161,131,178,151
154,190,168,203
148,174,164,185
135,213,150,223
128,110,145,127
120,19,143,33
104,104,124,112
91,3,106,25
90,180,109,196
83,44,96,58
80,168,94,178
70,21,91,36
64,126,78,142
63,181,76,198
60,166,67,175
58,1,79,17
46,149,65,165
37,59,54,77
34,162,49,179
12,100,16,105
7,80,27,102
4,153,23,164
