min_row,min_col,max_row,max_col
245,188,255,200
244,58,254,68
227,66,246,80
208,76,224,88
197,196,210,207
196,238,207,251
183,146,195,174
182,179,198,196
179,213,193,239
172,62,183,76
167,158,184,174
160,177,180,196
157,41,179,57
154,193,168,210
148,42,157,50
140,119,150,132
139,147,155,167
139,95,152,119
131,142,140,151
123,210,137,226
122,77,140,93
112,214,120,225
112,137,125,151
106,3,116,10
105,15,119,35
103,112,114,121
102,153,112,170
97,47,113,65
97,1,103,6
96,139,107,156
86,119,101,138
84,1,96,16
80,25,87,34
78,57,84,64
77,192,95,206
68,237,79,249
63,211,94,224
62,146,81,160
56,102,74,120
48,6,65,22
47,197,61,210
33,179,46,193
23,222,38,239
23,157,40,178
17,96,26,105
13,218,25,226
12,135,35,152
1,80,7,92
