min_row,min_col,max_row,max_col
247,37,253,43
233,152,248,163
227,22,236,33
209,116,222,134
204,132,217,157
203,131,207,135
202,200,209,210
196,49,217,66
192,11,206,21
188,201,201,211
186,233,200,245
185,156,201,169
177,10,192,21
176,101,195,120
171,189,189,209
171,3,181,15
167,247,177,255
160,224,173,238
150,164,160,174
150,101,167,134
149,76,164,97
149,11,159,22
142,244,152,255
120,205,143,219
101,124,118,141
95,76,107,90
91,44,105,62
83,139,99,156
72,135,85,144
72,66,96,86
66,1,77,8
56,182,69,199
53,92,60,103
52,71,70,85
41,237,51,251
40,44,54,64
32,82,48,104
21,236,34,253
20,129,42,143
19,56,36,68
18,164,33,178
9,72,21,87
