min_row,min_col,max_row,max_col
250,131,255,135
243,54,250,60
229,10,237,22
228,214,246,229
221,103,226,109
220,147,229,158
220,3,232,15
214,35,219,39
213,127,231,145
213,21,226,33
207,60,219,68
206,138,210,143
206,46,227,58
205,216,231,239
205,18,215,24
204,105,223,125
199,51,205,57
191,5,205,19
187,231,200,244
187,179,197,189
187,54,195,64
183,203,195,213
183,103,200,118
182,246,192,255
182,40,193,50
179,24,185,32
178,202,181,206
177,196,187,201
171,135,180,144
170,212,182,220
170,160,187,179
167,236,185,253
160,200,172,209
157,41,168,56
153,22,177,40
152,237,159,244
151,116,156,121
145,71,167,101
141,59,160,76
136,78,144,89
132,64,140,76
130,89,137,95
129,15,146,33
128,102,151,120
126,223,148,244
123,67,130,74
123,33,136,44
119,161,140,184
115,7,119,19
114,155,120,160
113,18,125,30
107,26,112,34
106,77,120,88
89,52,96,60
87,11,100,20
84,38,95,51
82,200,106,216
80,132,115,160
80,75,104,88
79,116,93,131
79,29,85,42
78,20,96,28
76,172,90,186
74,48,81,54
70,41,77,47
65,233,71,243
64,153,71,160
63,179,72,189
57,224,62,230
57,191,68,208
55,69,66,80
53,148,66,174
48,87,63,108
44,177,61,202
44,32,69,50
41,226,44,230
39,79,48,97
38,247,45,254
33,233,61,244
18,131,37,142
18,115,32,130
17,51,41,64
10,224,31,240
5,94,19,106
2,19,19,35
1,200,17,214
1,87,15,93
1,57,13,68
