min_row,min_col,max_row,max_col
238,189,255,208
238,76,253,91
230,244,242,253
229,8,236,20
226,135,238,153
225,158,236,168
220,69,241,91
212,166,222,177
203,89,212,100
195,1,216,20
189,14,198,27
183,146,190,154
182,104,195,120
180,27,191,36
179,123,195,138
175,173,186,186
164,226,181,239
161,36,177,54
160,67,167,75
159,193,177,209
151,159,160,173
141,77,157,96
129,148,144,162
127,20,149,40
122,174,138,188
107,183,116,197
89,186,101,197
78,4,93,20
70,236,82,254
69,19,76,29
60,188,88,200
53,147,68,165
53,41,60,48
38,239,55,255
34,163,50,180
34,52,48,71
23,5,36,11
17,219,36,239
14,139,33,153
11,119,28,134
2,227,17,245
