min_row,min_col,max_row,max_col
252,72,255,76
234,149,245,155
222,159,236,175
219,181,228,190
217,250,224,255
217,242,238,250
217,115,233,135
215,59,228,73
213,228,223,240
211,140,228,165
203,96,214,110
202,184,215,201
193,199,211,218
178,179,190,187
167,140,176,150
159,234,180,254
153,203,167,223
145,74,155,86
137,37,144,45
129,160,149,189
128,190,134,198
125,1,150,18
114,136,135,155
112,18,131,30
103,90,114,97
97,125,114,143
92,36,110,54
73,73,103,96
73,5,100,18
67,130,88,145
62,189,80,205
52,36,73,48
29,49,37,71
24,71,45,88
22,133,29,143
21,102,36,122
20,51,27,58
9,131,21,143
6,51,14,61
1,179,11,187
