min_row,min_col,max_row,max_col
251,190,255,195
248,234,255,243
247,71,254,80
243,96,249,103
238,8,252,21
236,191,252,215
235,217,245,232
233,233,241,239
232,49,246,66
227,114,231,120
225,84,233,93
223,186,235,194
223,99,245,121
219,202,234,235
218,123,230,138
218,2,238,16
215,228,221,234
215,181,222,188
208,9,216,20
207,44,224,74
206,85,224,97
195,46,204,53
187,2,207,23
181,221,189,228
174,11,186,26
169,143,188,162
162,74,177,94
159,49,174,66
149,6,162,30
143,148,156,161
141,77,149,89
132,185,146,202
131,162,153,179
127,229,136,240
118,14,130,30
112,180,130,203
106,82,116,91
101,154,116,171
90,43,106,58
88,212,99,227
74,108,83,118
70,145,87,173
63,154,69,161
60,164,67,171
57,177,81,207
53,100,61,110
53,75,68,95
46,226,70,245
44,175,54,187
39,151,57,168
37,198,60,211
32,218,47,231
30,28,42,38
24,241,30,249
21,43,31,53
15,187,32,218
10,28,24,39
7,226,13,231
3,187,13,200
1,77,5,81
1,57,9,65
