min_row,min_col,max_row,max_col
252,191,255,197
241,197,249,203
237,210,254,228
232,74,250,90
223,227,239,251
222,198,242,212
221,24,242,41
214,73,228,87
202,240,216,252
200,176,219,193
196,4,216,21
188,80,197,87
181,19,189,27
179,66,205,79
178,112,197,128
177,88,186,97
161,203,176,223
154,237,160,246
154,119,168,138
153,12,171,27
137,98,162,109
133,58,142,68
126,225,148,249
125,118,139,140
122,61,129,68
116,103,133,111
116,36,126,60
114,13,136,31
107,78,129,97
97,28,113,43
93,12,111,29
90,77,108,99
88,2,102,12
85,31,92,43
82,204,98,223
77,75,99,91
76,47,89,69
67,185,77,194
66,197,80,216
63,19,80,33
62,159,72,186
59,225,73,235
57,103,83,119
52,89,62,101
52,47,69,70
48,36,58,45
47,74,71,86
38,1,57,28
32,74,38,82
31,185,56,200
27,228,52,245
26,89,40,99
22,122,41,138
21,141,34,153
19,216,28,224
15,176,29,194
12,53,30,72
8,223,21,232
8,178,15,185
6,190,13,198
4,66,13,78
2,1,16,16
1,31,14,44
